time,value,sigma,name,global,n,condition
20,0.79135881715,0.024028464064967,opf,standard_WT,3,standard_WT
30,0.761002102,0.0240284640428641,opf,standard_WT,3,standard_WT
40,0.75823565575,0.0240284640408928,opf,standard_WT,3,standard_WT
60,0.7873710135,0.0240284640620141,opf,standard_WT,3,standard_WT
5,1.8592081178,0.0410325686962229,oz,standard_WT,3,standard_WT
10,2.3697869253,0.0501314107244676,oz,standard_WT,3,standard_WT
15,2.59887642345,0.0543178873051071,oz,standard_WT,3,standard_WT
20,2.76430252145,0.0573695150996251,oz,standard_WT,3,standard_WT
30,2.852968928,0.0590135243719397,oz,standard_WT,3,standard_WT
40,2.93307021715,0.060503233599679,oz,standard_WT,3,standard_WT
60,3.10642246305,0.0637404014694147,oz,standard_WT,3,standard_WT
0,4.59532509365,0.225572282154462,op,standard_WT,3,standard_B
5,4.09304086865,0.206492916983671,op,standard_WT,3,standard_B
10,3.8051889074,0.195818045540658,op,standard_WT,3,standard_B
15,3.7323043266,0.19315011755292,op,standard_WT,3,standard_B
20,3.73249551905,0.19315709636736,op,standard_WT,3,standard_B
30,3.67079057635,0.190910305749549,op,standard_WT,3,standard_B
40,3.7567436499,0.194043039872914,op,standard_WT,3,standard_B
60,3.68954245725,0.191591912537086,op,standard_WT,3,standard_B
5,0.61986068495,0.0240284639514513,opf,standard_WT,3,standard_B
10,0.76906494405,0.0240284640486504,opf,standard_WT,3,standard_B
15,0.8364661586,0.0240284640994065,opf,standard_WT,3,standard_B
20,0.85469374855,0.0240284641138647,opf,standard_WT,3,standard_B
30,0.85394445185,0.0240284641132642,opf,standard_WT,3,standard_B
40,0.89820987995,0.0240284641496422,opf,standard_WT,3,standard_B
60,0.8918013271,0.0240284641442618,opf,standard_WT,3,standard_B
5,0.20267036185,0.0192756536530793,oz,standard_WT,3,standard_B
10,0.3307705799,0.0199449695837243,oz,standard_WT,3,standard_B
15,0.403187293,0.0204504303698156,oz,standard_WT,3,standard_B
20,0.42978924895,0.0206575065277427,oz,standard_WT,3,standard_B
30,0.4365459725,0.0207118631743303,oz,standard_WT,3,standard_B
40,0.45688925825,0.0208797389229765,oz,standard_WT,3,standard_B
60,0.4607440204,0.0209122538736431,oz,standard_WT,3,standard_B
0,1.43543,0.00909767690695496,op,sp_mutB,2,spB_1.4
0,2.23073,0.0141382445712981,op,sp_mutB,2,spB_2.2
0,2.50391,0.0158696444044645,op,sp_mutB,2,spB_2.5
0,4.41976,0.0280121965343557,op,sp_mutB,2,spB_4.4
0,5.26707,0.0333824008192024,op,sp_mutB,2,spB_5.3
0,5.85451,0.0371055633068419,op,sp_mutB,2,spB_5.9
0,7.78051,0.049312445637671,op,sp_mutB,2,spB_7.8
0,10.93363,0.069296747217268,op,sp_mutB,2,spB_11
0,12.4348,0.0788110803258812,op,sp_mutB,2,spB_12
0,14.83053,0.0939950856426435,op,sp_mutB,2,spB_14
0,18.86651,0.119574905483039,op,sp_mutB,2,spB_19
15,1.29383,0.00820022390804031,op,sp_mutB,2,spB_1.4
15,2.02616,0.0128416911529286,op,sp_mutB,2,spB_2.2
15,2.26032,0.0143257843655531,op,sp_mutB,2,spB_2.5
15,4.58232,0.029042492893604,op,sp_mutB,2,spB_4.4
15,4.68252,0.0296775549950839,op,sp_mutB,2,spB_5.3
